Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
14.246485710,100.0234,15372286728.0913,4.16,-0.3125,1
14.246485710,100.0234,15372286728.0913,4.16,-0.3125,1
14.246485710,100.0234,15372286728.0913,4.16,-0.3125,1
14.422210693,100.0234,15372286728.0913,4.159375,0.625,1
14.422210693,100.0234,15372286728.0913,4.159375,0.625,1
14.422210693,100.0234,15372286728.0913,4.159375,0.625,1
14.422210693,100.0234,15372286728.0913,4.159375,0.625,1
14.598175049,100.0234,15372286728.0913,4.15875,0.625,1
14.598175049,100.0234,15372286728.0913,4.15875,0.625,1
14.598175049,100.0234,15372286728.0913,4.15875,0.625,1
14.774007320,100.0234,15372286728.0913,4.1575,-1.25,1
14.774007320,100.0234,15372286728.0913,4.1575,-1.25,1
14.774007320,100.0234,15372286728.0913,4.1575,-1.25,1
14.774007320,100.0234,15372286728.0913,4.1575,-1.25,1
14.949637890,100.0234,15372286728.0913,4.15875,0.625,1
